ACCOUNT_NUMBER,ACCOUNT_NAME,AMOUNT,TXN_ID,TIMESTAMP
0_MCF,MCF,2000,020aa98f8772b5368cc3965ba0f8c83100382a7384e07d3f82789ac1efec7ce2,2022-12-19 15:28:53.750168
3_QKJ,QKJ,2000,8b806b0daaa22cc6967f264385aa75042fda74e9ade56a6c64ddad1bda511d0a,2022-12-19 15:28:53.751475
6_ZUU,ZUU,2000,bd47ea56ab877e2ef0705ee386d3e1f4a61787551b825b128bea7d6812398834,2022-12-19 15:28:53.752454
9_ZWG,ZWG,2000,2d64dd2333a3e0d1039614404c4341e7eac75c9a964f7b713bfe47f9997973d9,2022-12-19 15:28:53.753372
12_OQJ,OQJ,2000,60c8c510bef4a9286bf555c2cc43a6365cb231a98558dcce28e530a82e737030,2022-12-19 15:28:53.754154
15_WRC,WRC,2000,401e487d61d2fc636c812bf166b6f958e961de24a414e72e03c16d48f57ead3a,2022-12-19 15:28:53.755103
18_ZXA,ZXA,2000,51a9090a5f724de013b4ab5471949ca241363d80e00a4b6fd9570ed187cde7ba,2022-12-19 15:28:53.756022
21_XNL,XNL,2000,376f9c80ec9e13e616dd1d6f521fabecd25297f2a7213381ad23908e767e11cb,2022-12-19 15:28:53.757075
24_OHT,OHT,2000,8c602fcca0b1d0b9c0f4e31b522f4d5544eba884b68f74b7be5d64b7635b3b5f,2022-12-19 15:28:53.758114
27_ZUO,ZUO,2000,a5bc9149be6a4b6ad8f37497ed3d4a1979f6e6ddfb526306acdb2f4aa719810a,2022-12-19 15:28:53.759036
30_LSE,LSE,2000,d6cb17effcd333377a8983a46af586c3d5473d479383030bc8025db1fdc1665c,2022-12-19 15:28:53.760020
33_TXZ,TXZ,2000,b5b5ac594c30405fc4b1937d7fcb04aa8573c10be259ffe90da2165499779759,2022-12-19 15:28:53.761100
36_RTH,RTH,2000,9bcacce96bb5d5d658ed92ce785ad1fc269be6f823a55060335fa9014108d635,2022-12-19 15:28:53.762395
39_QXX,QXX,2000,3e4fc6267f3bb3ade1e886e32929fc62e7d2d938695cb01c7816d3fc67944914,2022-12-19 15:28:53.763765
42_GUQ,GUQ,2000,48f95790a7061416ef18f59fd5e7cb6d2a267f569a7a245ef80c34b4a039521f,2022-12-19 15:28:53.765011
45_UNA,UNA,2000,9d71d07fac345cd7a32b7daf9a983c0aadad122e192fa56b6525f92304f65338,2022-12-19 15:28:53.766292
48_RIU,RIU,2000,05b5d48abc0cec4b9f0832da1830d1a5c175567d00448d2333939b556c25d490,2022-12-19 15:28:53.767212
51_FTM,FTM,2000,cfed85694dd73449c5138f500d34a0650110d402f3867358a266f9bf02fe9eac,2022-12-19 15:28:53.768035
54_STQ,STQ,2000,f59d2e007bd296963be1738211fec96f0cb2839b6138d52034040c0e49b84dcc,2022-12-19 15:28:53.768880
57_FEK,FEK,2000,4be1ce2b8a74154b30171c99b10794349a44a89a6c0d30f32191ba64e6a88bdc,2022-12-19 15:28:53.769691
60_INE,INE,2000,1cdd2e83f1489bc22e77e481275a25f9c6c05d7db3516cb9526a3583149bdbcc,2022-12-19 15:28:53.770580
63_MZR,MZR,2000,4ef3ce2ddf4da8d9fe553aaeab3a591692484ab41e4dacb2531c9be109b325a9,2022-12-19 15:28:53.771374
66_IAY,IAY,2000,caabc11b23cc93f532990b4a515ea43cc14ad63cb2236dc5cece0ca0e69ba6b4,2022-12-19 15:28:53.772088
69_IDB,IDB,2000,c711ee95c03847f79a8ba36366402ed47d1129d83bcae8abd711af5881fcbc46,2022-12-19 15:28:53.772899
72_VDY,VDY,2000,6efaece9e87d02177b8710d550ec717c5581bc2a734f34228b91fd9b9bee7fd2,2022-12-19 15:28:53.773680
75_KWB,KWB,2000,fa58a7e09364d9200f8035b6b4cc0e5b0850104adfe6e7c53270463d1861a1d0,2022-12-19 15:28:53.774770
78_IKM,IKM,2000,579e85eb4fbe071056f78a0463acee8f04eeaadea57010dfeb8ae31581269af6,2022-12-19 15:28:53.775824
81_TLT,TLT,2000,3136596721847e1d65378759cdeed3c62131c47cb1ceb76114cd43a9b0e47cb8,2022-12-19 15:28:53.776967
84_LHK,LHK,2000,2d0975f6b65608d13f7cc5794e18f29f2b9ac61d1f62c557bdb7c6d04a5a60ef,2022-12-19 15:28:53.777792
87_DPO,DPO,2000,535d3990ab86880d0d978d3d871f312fc4cdbbf90f3cef7c9e258dee0c46c7aa,2022-12-19 15:28:53.778766
90_IUS,IUS,2000,c800e495a91b9f85506a80000e602ab07add7970d64354eca2057b7d05f87632,2022-12-19 15:28:53.779751
93_LYV,LYV,2000,bf596a358ab6caf9234c5a7a69e970b74574d1ea87d9055755ba8868d49fabed,2022-12-19 15:28:53.780992
96_SJR,SJR,2000,a625f0583c06606f84c8813e18b5db1ba3b93853e89085177dd7ed8cf1724868,2022-12-19 15:28:53.782106
99_YPW,YPW,2000,a5fb26694e3118db5ed3f9f2da766a3a5884824848c78893edc062297daa3ada,2022-12-19 15:28:53.782952
102_QMW,QMW,2000,19b677fc9e685ce617c5ab9426d4daf983e683343adf1ca479bfbfa1a4361dfa,2022-12-19 15:28:53.783952
105_FHU,FHU,2000,f11e279e1ecc01c1e2cfb284e983a3a6401b80fe42ce500c13111a0667109062,2022-12-19 15:28:53.784729
108_FPH,FPH,2000,7ec69cbbd19326110e7481303a6a9b5b3bea2a48f214c269252adc4df9d9794a,2022-12-19 15:28:53.785503
111_CQW,CQW,2000,5a6a588906d297c73fea4126b7003b44bd1eaa5ffc3592828bf2404718e6e5b6,2022-12-19 15:28:53.786406
114_ZIE,ZIE,2000,eaae2cc281c3a6e3262b2126bf79a4d608849938488b7a3214b525c4f61ea553,2022-12-19 15:28:53.787361
117_HVM,HVM,2000,acb1de83428706dee5bbe56f0bcd184aab010229782a5792c08f906cec0b57c0,2022-12-19 15:28:53.788183
120_TVL,TVL,2000,cd49003bf207715b1363e67bcc4260cde23de702d1e5beedeaea3f42f0f6e645,2022-12-19 15:28:53.789010
123_QVP,QVP,2000,1ae3089d37616f180aeffa5292fff29238ceae456c9688ecd6ea009b431d5d11,2022-12-19 15:28:53.789822
126_PTR,PTR,2000,65fdbac18e76906133c8e3555fb8da9f802e55b7fa0703e2d7525d7105eab8c8,2022-12-19 15:28:53.790678
129_IRH,IRH,2000,fc0d18927f7d760415b27b99e8da73db07a145a3971d811efc9d4ee13e1e072d,2022-12-19 15:28:53.791518
132_KEY,KEY,2000,026ba287319bd48348bdda50098cbf14a88dbab6471172e6642f01d4c861dadf,2022-12-19 15:28:53.792356
135_FHO,FHO,2000,2c15dce5029e05753684c1156d4020f28745df809098ed64d1bbf084ea03e0a6,2022-12-19 15:28:53.793187
138_NDR,NDR,2000,cd7f30cca154b8baf07cf537143706ddb21684632450b03492f4e1c4a669deb5,2022-12-19 15:28:53.794009
141_SEU,SEU,2000,e1f6322d38dd02290ddfc55a0348e54806f1a8181314d40d3c241576bb292836,2022-12-19 15:28:53.794843
144_XIA,XIA,2000,f099f26e97241a9a2de8e00b781afb3e945422f64b19c3a0077c7bd906739bf5,2022-12-19 15:28:53.795725
147_OXA,OXA,2000,31c3ac6b0ef264d5d3b6bf2ade27f44356cdb414aad0b68aa2f655fa87a2c35c,2022-12-19 15:28:53.796782
27_ZUO,ZUO,-100,a5bc9149be6a4b6ad8f37497ed3d4a1979f6e6ddfb526306acdb2f4aa719810a,2022-12-19 15:28:53.759036
